ean,sku,title,status
0718037893204,SSDW0091,Western Digital WDS100T4X0E-00CJA0 1TB NEU,updated
0740617277357,SSDK0018,Kingston Technology A400 960 NEU,updated
0740617319903,RAM4K0015,Kingston Technology FURY RAM Arbeitsspeicher 16GB DDR4 2x Kit NEU,updated
0740617337426,RAM4K0057,Kingston Technology FURY RAM Arbeitsspeicher 16GB DDR4 NEU,updated
0740617337532,RAM4K0058,Kingston Technology FURY RAM Arbeitsspeicher 16GB DDR4 2x Kit NEU,updated
0740617337815,RAM4K0060,Kingston Technology FURY 16GB RAM Arbeitsspeicher DDR4 2x Kit NEU,updated
0740617350173,RAM5K0045,Kingston Technology FURY RAM Arbeitsspeicher 64GB DDR5 2x Kit NEU,not_live
0740617350180,RAM5K0043,Kingston Technology FURY RAM Arbeitsspeicher 32GB DDR5 NEU,updated
0763649113653,HDIS0139,Seagate ST2000DM008 Festplatte HDD 2TB NEU,updated
0763649150474,HDIS0241,Seagate ST10000VE001 S 10TB NEU,updated
0763649174883,HDIS0273,Seagate X24 Festplatte HDD 24TB NEU,unchanged
0763649174920,HDIS0294,Seagate X24 Festplatte HDD 24TB NEU,not_live
0810010072146,NETU0016,Ubiquiti USW-48-POE Netzwerk Switch PoE NEU,updated
0810010074386,NETU0143,Ubiquiti UISP Netzwerk Switch NEU,updated
0810010077769,NETU0024,UbiQuiti UniFi Dream Machine Special Edition,unchanged
0810010079251,NETU0152,Ubiquiti UniFi UNAS Pro - NAS-Server - Rack - einbaufähig,unchanged
0810084690185,NETU0084,UbiQuiti UniFi Protect UVC-G5-BULLET - Netzwerk-Überwachungskamera,unchanged
0810084691090,NETU0076,Ubiquiti U6-PLUS WLAN Access Point NEU,updated
0810084696040,NETU0157,Ubiquiti Netzwerk Switch 5-Port NEU,updated
0810084698747,NETU0148,Ubiquiti U7-LITE WLAN Access Point Wi-Fi 7 NEU,updated
0810084698815,NETU0173,Ubiquiti UniFi Protect G6 - Netzwerk-Überwachungskamera - Turret,unchanged
0810177161929,NETU0151,Ubiquiti WiFi 7 Long-Range WLAN Access Point Wi-Fi NEU,updated
0817882027373,NETU0028,Ubiquiti UniFi Dream Machine WLAN Access Point NEU,updated
0817882027649,NETU0017,Ubiquiti USW-P Netzwerk Switch PoE NEU,unchanged
0817882027656,NETU0023,Ubiquiti USW-PRO-48-POE Netzwerk Switch PoE NEU,unchanged
0817882029698,NETU0034,Ubiquiti USW Netzwerk Switch NEU,updated
1210000615060,NOCO0006,NOCO GB150 Boost 12V 3000A Jump Starter,updated
1210000617279,NOCO0020,NOCO GBC013 GB20/40 EVA Schutzcase,updated
1210000617286,NOCO0021,NOCO GBC014 GB70 EVA Schutzcase,updated
1210000617309,NOCO0019,NOCO XGC4 56W XGC Power Adapter,updated
1210000618146,NOCO0028,NOCO GENIUS2DEU 2A Direct-Mount Battery Charger,updated
1210000620064,NOCO0007,NOCO GBX45 vehicle jump starter,updated
