ItemNo;Description;Module;ItemMainGroup;ItemSubGroup;Stock;Price_B2B;ManufacturerCode;ManufacturerName;ReferenceNumber;GTIN;GrossWeight
HDXV0002;Verbatim Store n Go 2,5 1TB USB 3.0 silber 53071;FESTPLATTE;EXTERN;2.5 ZOLL;270;57,25;VERB;Verbatim;53071;0023942530718;0,23
HDXV0003;Verbatim Store n Go 2,5 2TB USB 3.0 schwarz 53177;FESTPLATTE;EXTERN;2.5 ZOLL;297;78,16;VERB;Verbatim;53177;0023942531777;0,248
HDXV0005;Verbatim Store n Go 2,5 1TB USB 3.0 black Gen 2 53194;FESTPLATTE;EXTERN;2.5 ZOLL;291;62,83;VERB;Verbatim;53194;0023942531944;0,235
HDXV0006;Verbatim Store n Go 2,5 1TB USB 3.0 silver Gen 2 53197;FESTPLATTE;EXTERN;2.5 ZOLL;275;57,45;VERB;Verbatim;53197;0023942531975;0,23625
HDXV0011;Verbatim Store´N´Go Alu Slim 2.5" 4TB USB 3.0 GEN1 Black 53223;FESTPLATTE;EXTERN;2.5 ZOLL;252;114,59;VERB;Verbatim;53223;0023942532231;0,3385
HDXW0204;Western Digital My Passport 5TB Black;FESTPLATTE;EXTERN;2.5 ZOLL;5;122,82;WD;Western Digital;WDBPKJ0050BBK-WESN;0718037868448;0,3
HDXW0236;Western Digital My Passport 6TB Black;FESTPLATTE;EXTERN;2.5 ZOLL;20;154,28;WD;Western Digital;WDBR9S0060BBK-WESN;0718037903873;0,31333
HHWB0034;Beurer HT 80 - Haartrockner/Haarstyler;BABHOME;HW;;88;28,93;BEURER;Beurer;591.19;4211125591199;0,925
HHWB0035;Beurer Warmluftbürste rotierend HT 85 ICONIC Pro;BABHOME;HW;;44;26,90;BEURER;Beurer;104.04;4211125104047;1,03
HHWB0036;Braun Oral-B Junior Pro Frozen;BABHOME;HW;;134;31,47;BRAUN;Braun;14876673;8006540774724;0,4
HHWB0037;Braun Oral-B Junior Pro Grogu/Starwars;BABHOME;HW;;224;31,47;BRAUN;Braun;957196;8006540957196;0,4
HHWB1047;Braun Oral-B iO Series 6 Black Lava;BABHOME;HW;;240;83,23;BRAUN;Braun;445111;4210201445111;0,656
HHWB1048;Braun Oral-B iO Series 6 White;BABHOME;HW;;340;83,23;BRAUN;Braun;445234;4210201445234;0,658
HHWB1049;Braun Oral-B iO Series 6 Grey Opal;BABHOME;HW;;422;81,71;BRAUN;Braun;445258;4210201445258;0,655
HHWB1050;Braun Oral-B iO Series 6 Pink Sand;BABHOME;HW;;404;83,23;BRAUN;Braun;445197;4210201445197;0,692
HHWB1051;Braun Oral-B iO Series 8N Black Onyx;BABHOME;HW;;106;105,56;BRAUN;Braun;IOM8.2Q2.2BD;4210201408567;0,82467
HHWB1054;Braun Oral-B iO Series 10 Stardust White;BABHOME;HW;;60;207,06;BRAUN;Braun;435457;4210201435457;0,871
HHWB1055;Braun Oral-B iO Series 10 Cosmic Black;BABHOME;HW;;161;214,17;BRAUN;Braun;435587;4210201435587;0,87
HHWB1111;Braun Oral-B iO Ultimative Reinigung Aufsteckbürsten weiß 8 Stk;BABHOME;HW;;12;34,00;BRAUN;Braun;434818;4210201434818;0,15531
HHWB1125;Braun Oral-B iO Series 10 Lunar;BABHOME;HW;;126;214,17;BRAUN;Braun;996297;8700216996297;0,858
HHWB1127;Braun Oral-B Pro Tiefenreinigung Aufsteckbürsten - 6 Stk - Weiß;BABHOME;HW;;27;15,23;BRAUN;Braun;860793;8006540860793;0,556
HHWB1128;Braun All-in-One Style Kit 7 MGK7410 - Trimmer;BABHOME;HW;;74;43,65;BRAUN;Braun;MGK7410;4210201447238;0,59
HHWB1129;Braun Oral-B iO Ultimative Reinigung Aufsteckbürsten schwarz (8 Stk.);BABHOME;HW;;500;34,00;BRAUN;Braun;434832;4210201434832;0,15531
HHWB1130;Braun BNA100 - Nasensauger - schnurlos;BABHOME;HW;;17;17,76;BRAUN;Braun;BNA100EU;4022167001016;0,35767
HHWB1131;Braun Oral-B iO Aufsteckbürsten Ultimative Reinigung 6er;BABHOME;HW;;196;27,41;BRAUN;Braun;194761;8700216194761;0,08033
HHWB1134;Braun Oral-B iO Ultimative Reinigung - Zahnbürstenaufsätze 4 St.;BABHOME;HW;;500;18,78;BRAUN;Braun;195027;8700216195027;0,05817
HHWB1136;Braun Oral-B iO Ultimative Reinigung - Zahnbürstenaufsätze 8 St.;BABHOME;HW;;480;34,00;BRAUN;Braun;778541;8700216778541;0,125
HHWB1137;Braun Oral-B iO Ultimative Reinigung - Zahnbürstenaufsätze 10 St.;BABHOME;HW;;342;40,09;BRAUN;Braun;777063;8700216777063;0,18613
HHWB1138;Braun Oral-B iO Ultimative Reinigung - Zahnbürstenaufsätze 10 St.;BABHOME;HW;;500;42,63;BRAUN;Braun;777131;8700216777131;0,18513
HHWB4001;BaByliss Hydro-Fusion Hydro Fusion Smooth & Shape Heißluftbürste;BABHOME;HW;;2;36,54;BABYLISS;BaByliss;AS774E;3030050179880;1,166
HHWB4002;BaByliss Super-X Metal Professioneller Haarschneider;BABHOME;HW;;1;56,84;BABYLISS;BaByliss;E996E;3030050165371;1,2
HHWB4003;BaByliss Super-X 15-in-1-Multi-Trimmer;BABHOME;HW;;3;62,93;BABYLISS;BaByliss;MT996E;3030050165388;1,116
HHWB4006;BaByliss Wave Secret Air Locken-Styler;BABHOME;HW;;8;86,28;BABYLISS;BaByliss;C1900E;3030050182644;1,49
HHWB4008;Babyliss Black Onyx Glätteisen;BABHOME;HW;;2;41,62;BABYLISS;BaByliss;ST484E;3030050192995;0,875
HHWB4012;Babyliss Inspired Glätteisen;BABHOME;HW;;8;34,51;BABYLISS;BaByliss;ST212PE;3030050193022;0,825
HHWB4016;Babyliss Air Volume;BABHOME;HW;;2;52,78;BABYLISS;BaByliss;AS95E;3030050190915;1,14167
HHWB4022;BaByliss D374DE Cordkeeper 2000 Haartrockner;BABHOME;HW;;8;26,39;BABYLISS;BaByliss;D374DE;3030050188042;1,01
HHWB5006;Beurer HC 100 Haartrockner Violett;BABHOME;HW;;15;68,01;BEURER;Beurer;100.83;4211125100834;1,925
HHWB5009;Beurer Tageslichtlampe TL 35;BABHOME;HW;;46;37,56;BEURER;Beurer;10065;6970229250545;1,08
HHWB5010;Beurer TL 30 - Dekorationsleuchte - LED;BABHOME;HW;;104;31,97;BEURER;Beurer;608.05;6970229251702;0,94
HHWB5011;Beurer TL 80 - Energielicht;BABHOME;HW;;45;55,83;BEURER;Beurer;608.10;4211125608101;3,65
HHWB5012;Beurer IL 11 Infrarotlampe;BABHOME;HW;;91;15,23;BEURER;Beurer;614.03;4211125614034;0,6
HHWB5014;Beurer MP41 - Elektrisches Maniküre-/Pediküregerät;BABHOME;HW;;112;23,85;BEURER;Beurer;572.11;4211125572112;0,48
HHWB5016;Beurer HC 25 - Föhn;BABHOME;HW;;67;15,23;BEURER;Beurer;591.13;4211125591137;0,67
HHWB5022;Beurer LB 300 Plus - Luftbefeuchter - Black;BABHOME;HW;;53;118,76;BEURER;Beurer;10067;4211125100674;3,95
HHWB5025;Beurer MG 10 - Massageball - schnurlos;BABHOME;HW;;51;9,90;BEURER;Beurer;648.14;4211125648145;0,294
HHWB5029;Beurer Inhalator IH 57 weiss/grau;BABHOME;HW;;1;38,06;BEURER;Beurer;60142;4211125601423;0,52
HHWB5030;Beurer UB 100 - Wärmeunterbett;BABHOME;HW;;12;73,08;BEURER;Beurer;UB 100;4211125375003;2,5
HHWB5031;Beurer UB 90 - Wärmeunterbett;BABHOME;HW;;64;49,74;BEURER;Beurer;370008;4211125370008;1,56667
HHWB5032;Beurer BM 48 - Oberarm Blutdruckmessgerät;BABHOME;HW;;38;32,48;BEURER;Beurer;103.50;4211125103507;0,59688
HHWE0017;Ecovacs Deebot mini blue;BABHOME;HW;;39;182,70;ECOVACS;Ecovacs;DJX11;6970135036530;10,85
HHWE0018;Ecovacs Deebot X8 Omni | DEX56;BABHOME;HW;;1;1013,99;ECOVACS;Ecovacs;DDX15-23EC;6970135035588;0
HHWE1003;ECOFLOW Wave 2 Add-on Battery;BAB GREENVISION;PPS;;6;517,65;ECOFLOW;Ecoflow;ZYDKT210-EB;4895251604758;9,18
HHWE1008;ECOFLOW Wave 3 Add-on Battery ;BAB GREENVISION;PPS;;9;518,46;ECOFLOW;Ecoflow;EFWAVE3-EB;4895251631020;11,06
HHWE1011;ECOFLOW WAVE Series Car Vent Seal (Magnetic Version);BAB GREENVISION;PPS;;7;51,16;ECOFLOW;Ecoflow;EFA-WAVE3CARVENTSEAL;4895251631143;0,761
